start_date,end_date,original_dates,firm,party,preference_type,election_year,mid_date,survey_type,sample_size,intended_vote
2008-04-04,2008-04-06,4–6 Apr 2008,Newspoll,ALP,First preference,2010,2008-04-05,NA,NA,48
2008-04-04,2008-04-06,4–6 Apr 2008,Newspoll,ALP,Two-party-preferred,2010,2008-04-05,NA,NA,59
2008-04-04,2008-04-06,4–6 Apr 2008,Newspoll,Grn,First preference,2010,2008-04-05,NA,NA,10
2008-04-04,2008-04-06,4–6 Apr 2008,Newspoll,Lib/Nat,First preference,2010,2008-04-05,NA,NA,35
2008-04-04,2008-04-06,4–6 Apr 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-04-05,NA,NA,41
2008-04-04,2008-04-06,4–6 Apr 2008,Newspoll,Oth,First preference,2010,2008-04-05,NA,NA,7
2008-04-18,2008-04-20,18–20 Apr 2008,Newspoll,ALP,First preference,2010,2008-04-19,NA,NA,51
2008-04-18,2008-04-20,18–20 Apr 2008,Newspoll,ALP,Two-party-preferred,2010,2008-04-19,NA,NA,61
2008-04-18,2008-04-20,18–20 Apr 2008,Newspoll,Grn,First preference,2010,2008-04-19,NA,NA,9
2008-04-18,2008-04-20,18–20 Apr 2008,Newspoll,Lib/Nat,First preference,2010,2008-04-19,NA,NA,34
2008-04-18,2008-04-20,18–20 Apr 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-04-19,NA,NA,39
2008-04-18,2008-04-20,18–20 Apr 2008,Newspoll,Oth,First preference,2010,2008-04-19,NA,NA,6
2008-05-02,2008-05-04,2–4 May 2008,Newspoll,ALP,First preference,2010,2008-05-03,NA,NA,47
2008-05-02,2008-05-04,2–4 May 2008,Newspoll,ALP,Two-party-preferred,2010,2008-05-03,NA,NA,57
2008-05-02,2008-05-04,2–4 May 2008,Newspoll,Grn,First preference,2010,2008-05-03,NA,NA,9
2008-05-02,2008-05-04,2–4 May 2008,Newspoll,Lib/Nat,First preference,2010,2008-05-03,NA,NA,37
2008-05-02,2008-05-04,2–4 May 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-05-03,NA,NA,43
2008-05-02,2008-05-04,2–4 May 2008,Newspoll,Oth,First preference,2010,2008-05-03,NA,NA,7
2008-05-16,2008-05-18,16–18 May 2008,Newspoll,ALP,First preference,2010,2008-05-17,NA,NA,47
2008-05-16,2008-05-18,16–18 May 2008,Newspoll,ALP,Two-party-preferred,2010,2008-05-17,NA,NA,57
2008-05-16,2008-05-18,16–18 May 2008,Newspoll,Grn,First preference,2010,2008-05-17,NA,NA,9
2008-05-16,2008-05-18,16–18 May 2008,Newspoll,Lib/Nat,First preference,2010,2008-05-17,NA,NA,37
2008-05-16,2008-05-18,16–18 May 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-05-17,NA,NA,43
2008-05-16,2008-05-18,16–18 May 2008,Newspoll,Oth,First preference,2010,2008-05-17,NA,NA,7
2008-05-16,2008-06-01,30 May – 1 Jun 2008,Newspoll,ALP,First preference,2010,2008-05-24,NA,NA,46
2008-05-16,2008-06-01,30 May – 1 Jun 2008,Newspoll,ALP,Two-party-preferred,2010,2008-05-24,NA,NA,57
2008-05-16,2008-06-01,30 May – 1 Jun 2008,Newspoll,Grn,First preference,2010,2008-05-24,NA,NA,10
2008-05-16,2008-06-01,30 May – 1 Jun 2008,Newspoll,Lib/Nat,First preference,2010,2008-05-24,NA,NA,37
2008-05-16,2008-06-01,30 May – 1 Jun 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-05-24,NA,NA,43
2008-05-16,2008-06-01,30 May – 1 Jun 2008,Newspoll,Oth,First preference,2010,2008-05-24,NA,NA,7
2008-06-13,2008-06-15,13–15 Jun 2008,Newspoll,ALP,First preference,2010,2008-06-14,NA,NA,46
2008-06-13,2008-06-15,13–15 Jun 2008,Newspoll,ALP,Two-party-preferred,2010,2008-06-14,NA,NA,59
2008-06-13,2008-06-15,13–15 Jun 2008,Newspoll,Grn,First preference,2010,2008-06-14,NA,NA,12
2008-06-13,2008-06-15,13–15 Jun 2008,Newspoll,Lib/Nat,First preference,2010,2008-06-14,NA,NA,33
2008-06-13,2008-06-15,13–15 Jun 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-06-14,NA,NA,41
2008-06-13,2008-06-15,13–15 Jun 2008,Newspoll,Oth,First preference,2010,2008-06-14,NA,NA,9
2008-06-27,2008-06-29,27–29 Jun 2008,Newspoll,ALP,First preference,2010,2008-06-28,NA,NA,44
2008-06-27,2008-06-29,27–29 Jun 2008,Newspoll,ALP,Two-party-preferred,2010,2008-06-28,NA,NA,55
2008-06-27,2008-06-29,27–29 Jun 2008,Newspoll,Grn,First preference,2010,2008-06-28,NA,NA,10
2008-06-27,2008-06-29,27–29 Jun 2008,Newspoll,Lib/Nat,First preference,2010,2008-06-28,NA,NA,39
2008-06-27,2008-06-29,27–29 Jun 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-06-28,NA,NA,45
2008-06-27,2008-06-29,27–29 Jun 2008,Newspoll,Oth,First preference,2010,2008-06-28,NA,NA,7
2008-07-11,2008-07-13,11–13 Jul 2008,Newspoll,ALP,First preference,2010,2008-07-12,NA,NA,43
2008-07-11,2008-07-13,11–13 Jul 2008,Newspoll,ALP,Two-party-preferred,2010,2008-07-12,NA,NA,55
2008-07-11,2008-07-13,11–13 Jul 2008,Newspoll,Grn,First preference,2010,2008-07-12,NA,NA,11
2008-07-11,2008-07-13,11–13 Jul 2008,Newspoll,Lib/Nat,First preference,2010,2008-07-12,NA,NA,38
2008-07-11,2008-07-13,11–13 Jul 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-07-12,NA,NA,45
2008-07-11,2008-07-13,11–13 Jul 2008,Newspoll,Oth,First preference,2010,2008-07-12,NA,NA,8
2008-07-25,2008-07-27,25–27 Jul 2008,Newspoll,ALP,First preference,2010,2008-07-26,NA,NA,47
2008-07-25,2008-07-27,25–27 Jul 2008,Newspoll,ALP,Two-party-preferred,2010,2008-07-26,NA,NA,57
2008-07-25,2008-07-27,25–27 Jul 2008,Newspoll,Grn,First preference,2010,2008-07-26,NA,NA,10
2008-07-25,2008-07-27,25–27 Jul 2008,Newspoll,Lib/Nat,First preference,2010,2008-07-26,NA,NA,37
2008-07-25,2008-07-27,25–27 Jul 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-07-26,NA,NA,43
2008-07-25,2008-07-27,25–27 Jul 2008,Newspoll,Oth,First preference,2010,2008-07-26,NA,NA,6
2008-08-08,2008-08-10,8–10 Aug 2008,Newspoll,ALP,First preference,2010,2008-08-09,NA,NA,47
2008-08-08,2008-08-10,8–10 Aug 2008,Newspoll,ALP,Two-party-preferred,2010,2008-08-09,NA,NA,57
2008-08-08,2008-08-10,8–10 Aug 2008,Newspoll,Grn,First preference,2010,2008-08-09,NA,NA,9
2008-08-08,2008-08-10,8–10 Aug 2008,Newspoll,Lib/Nat,First preference,2010,2008-08-09,NA,NA,38
2008-08-08,2008-08-10,8–10 Aug 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-08-09,NA,NA,43
2008-08-08,2008-08-10,8–10 Aug 2008,Newspoll,Oth,First preference,2010,2008-08-09,NA,NA,6
2008-08-22,2008-08-24,22–24 Aug 2008,Newspoll,ALP,First preference,2010,2008-08-23,NA,NA,45
2008-08-22,2008-08-24,22–24 Aug 2008,Newspoll,ALP,Two-party-preferred,2010,2008-08-23,NA,NA,56
2008-08-22,2008-08-24,22–24 Aug 2008,Newspoll,Grn,First preference,2010,2008-08-23,NA,NA,8
2008-08-22,2008-08-24,22–24 Aug 2008,Newspoll,Lib/Nat,First preference,2010,2008-08-23,NA,NA,38
2008-08-22,2008-08-24,22–24 Aug 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-08-23,NA,NA,44
2008-08-22,2008-08-24,22–24 Aug 2008,Newspoll,Oth,First preference,2010,2008-08-23,NA,NA,9
2008-09-05,2008-09-07,5–7 Sep 2008,Newspoll,ALP,First preference,2010,2008-09-06,NA,NA,44
2008-09-05,2008-09-07,5–7 Sep 2008,Newspoll,ALP,Two-party-preferred,2010,2008-09-06,NA,NA,56
2008-09-05,2008-09-07,5–7 Sep 2008,Newspoll,Grn,First preference,2010,2008-09-06,NA,NA,11
2008-09-05,2008-09-07,5–7 Sep 2008,Newspoll,Lib/Nat,First preference,2010,2008-09-06,NA,NA,37
2008-09-05,2008-09-07,5–7 Sep 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-09-06,NA,NA,44
2008-09-05,2008-09-07,5–7 Sep 2008,Newspoll,Oth,First preference,2010,2008-09-06,NA,NA,8
2008-09-19,2008-09-21,19–21 Sep 2008,Newspoll,ALP,First preference,2010,2008-09-20,NA,NA,42
2008-09-19,2008-09-21,19–21 Sep 2008,Newspoll,ALP,Two-party-preferred,2010,2008-09-20,NA,NA,55
2008-09-19,2008-09-21,19–21 Sep 2008,Newspoll,Grn,First preference,2010,2008-09-20,NA,NA,10
2008-09-19,2008-09-21,19–21 Sep 2008,Newspoll,Lib/Nat,First preference,2010,2008-09-20,NA,NA,38
2008-09-19,2008-09-21,19–21 Sep 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-09-20,NA,NA,45
2008-09-19,2008-09-21,19–21 Sep 2008,Newspoll,Oth,First preference,2010,2008-09-20,NA,NA,10
2008-10-10,2008-10-12,10–12 Oct 2008,Newspoll,ALP,First preference,2010,2008-10-11,NA,NA,41
2008-10-10,2008-10-12,10–12 Oct 2008,Newspoll,ALP,Two-party-preferred,2010,2008-10-11,NA,NA,55
2008-10-10,2008-10-12,10–12 Oct 2008,Newspoll,Grn,First preference,2010,2008-10-11,NA,NA,13
2008-10-10,2008-10-12,10–12 Oct 2008,Newspoll,Lib/Nat,First preference,2010,2008-10-11,NA,NA,38
2008-10-10,2008-10-12,10–12 Oct 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-10-11,NA,NA,45
2008-10-10,2008-10-12,10–12 Oct 2008,Newspoll,Oth,First preference,2010,2008-10-11,NA,NA,8
2008-10-24,2008-10-26,24–26 Oct 2008,Newspoll,ALP,First preference,2010,2008-10-25,NA,NA,44
2008-10-24,2008-10-26,24–26 Oct 2008,Newspoll,ALP,Two-party-preferred,2010,2008-10-25,NA,NA,54
2008-10-24,2008-10-26,24–26 Oct 2008,Newspoll,Grn,First preference,2010,2008-10-25,NA,NA,9
2008-10-24,2008-10-26,24–26 Oct 2008,Newspoll,Lib/Nat,First preference,2010,2008-10-25,NA,NA,39
2008-10-24,2008-10-26,24–26 Oct 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-10-25,NA,NA,46
2008-10-24,2008-10-26,24–26 Oct 2008,Newspoll,Oth,First preference,2010,2008-10-25,NA,NA,8
2008-11-07,2008-11-09,7–9 Nov 2008,Newspoll,ALP,First preference,2010,2008-11-08,NA,NA,44
2008-11-07,2008-11-09,7–9 Nov 2008,Newspoll,ALP,Two-party-preferred,2010,2008-11-08,NA,NA,55
2008-11-07,2008-11-09,7–9 Nov 2008,Newspoll,Grn,First preference,2010,2008-11-08,NA,NA,9
2008-11-07,2008-11-09,7–9 Nov 2008,Newspoll,Lib/Nat,First preference,2010,2008-11-08,NA,NA,38
2008-11-07,2008-11-09,7–9 Nov 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-11-08,NA,NA,45
2008-11-07,2008-11-09,7–9 Nov 2008,Newspoll,Oth,First preference,2010,2008-11-08,NA,NA,9
2008-11-21,2008-11-23,21–23 Nov 2008,Newspoll,ALP,First preference,2010,2008-11-22,NA,NA,42
2008-11-21,2008-11-23,21–23 Nov 2008,Newspoll,ALP,Two-party-preferred,2010,2008-11-22,NA,NA,55
2008-11-21,2008-11-23,21–23 Nov 2008,Newspoll,Grn,First preference,2010,2008-11-22,NA,NA,11
2008-11-21,2008-11-23,21–23 Nov 2008,Newspoll,Lib/Nat,First preference,2010,2008-11-22,NA,NA,38
2008-11-21,2008-11-23,21–23 Nov 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-11-22,NA,NA,45
2008-11-21,2008-11-23,21–23 Nov 2008,Newspoll,Oth,First preference,2010,2008-11-22,NA,NA,9
2008-12-05,2008-12-07,5–7 Dec 2008,Newspoll,ALP,First preference,2010,2008-12-06,NA,NA,48
2008-12-05,2008-12-07,5–7 Dec 2008,Newspoll,ALP,Two-party-preferred,2010,2008-12-06,NA,NA,59
2008-12-05,2008-12-07,5–7 Dec 2008,Newspoll,Grn,First preference,2010,2008-12-06,NA,NA,10
2008-12-05,2008-12-07,5–7 Dec 2008,Newspoll,Lib/Nat,First preference,2010,2008-12-06,NA,NA,35
2008-12-05,2008-12-07,5–7 Dec 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-12-06,NA,NA,41
2008-12-05,2008-12-07,5–7 Dec 2008,Newspoll,Oth,First preference,2010,2008-12-06,NA,NA,7
2009-01-16,2009-01-18,16–18 Jan 2009,Newspoll,ALP,First preference,2010,2009-01-17,NA,NA,43
2009-01-16,2009-01-18,16–18 Jan 2009,Newspoll,ALP,Two-party-preferred,2010,2009-01-17,NA,NA,54
2009-01-16,2009-01-18,16–18 Jan 2009,Newspoll,Grn,First preference,2010,2009-01-17,NA,NA,10
2009-01-16,2009-01-18,16–18 Jan 2009,Newspoll,Lib/Nat,First preference,2010,2009-01-17,NA,NA,39
2009-01-16,2009-01-18,16–18 Jan 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-01-17,NA,NA,46
2009-01-16,2009-01-18,16–18 Jan 2009,Newspoll,Oth,First preference,2010,2009-01-17,NA,NA,8
2009-02-06,2009-02-08,6–8 Feb 2009,Newspoll,ALP,First preference,2010,2009-02-07,NA,NA,48
2009-02-06,2009-02-08,6–8 Feb 2009,Newspoll,ALP,Two-party-preferred,2010,2009-02-07,NA,NA,58
2009-02-06,2009-02-08,6–8 Feb 2009,Newspoll,Grn,First preference,2010,2009-02-07,NA,NA,8
2009-02-06,2009-02-08,6–8 Feb 2009,Newspoll,Lib/Nat,First preference,2010,2009-02-07,NA,NA,36
2009-02-06,2009-02-08,6–8 Feb 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-02-07,NA,NA,42
2009-02-06,2009-02-08,6–8 Feb 2009,Newspoll,Oth,First preference,2010,2009-02-07,NA,NA,8
2009-02-20,2009-02-22,20–22 Feb 2009,Newspoll,ALP,First preference,2010,2009-02-21,NA,NA,47
2009-02-20,2009-02-22,20–22 Feb 2009,Newspoll,ALP,Two-party-preferred,2010,2009-02-21,NA,NA,58
2009-02-20,2009-02-22,20–22 Feb 2009,Newspoll,Grn,First preference,2010,2009-02-21,NA,NA,9
2009-02-20,2009-02-22,20–22 Feb 2009,Newspoll,Lib/Nat,First preference,2010,2009-02-21,NA,NA,36
2009-02-20,2009-02-22,20–22 Feb 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-02-21,NA,NA,42
2009-02-20,2009-02-22,20–22 Feb 2009,Newspoll,Oth,First preference,2010,2009-02-21,NA,NA,8
2009-03-07,2009-03-09,7–9 Mar 2009,Newspoll,ALP,First preference,2010,2009-03-08,NA,NA,44
2009-03-07,2009-03-09,7–9 Mar 2009,Newspoll,ALP,Two-party-preferred,2010,2009-03-08,NA,NA,56
2009-03-07,2009-03-09,7–9 Mar 2009,Newspoll,Grn,First preference,2010,2009-03-08,NA,NA,10
2009-03-07,2009-03-09,7–9 Mar 2009,Newspoll,Lib/Nat,First preference,2010,2009-03-08,NA,NA,36
2009-03-07,2009-03-09,7–9 Mar 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-03-08,NA,NA,44
2009-03-07,2009-03-09,7–9 Mar 2009,Newspoll,Oth,First preference,2010,2009-03-08,NA,NA,10
2009-03-20,2009-03-22,20–22 Mar 2009,Newspoll,ALP,First preference,2010,2009-03-21,NA,NA,45
2009-03-20,2009-03-22,20–22 Mar 2009,Newspoll,ALP,Two-party-preferred,2010,2009-03-21,NA,NA,56
2009-03-20,2009-03-22,20–22 Mar 2009,Newspoll,Grn,First preference,2010,2009-03-21,NA,NA,8
2009-03-20,2009-03-22,20–22 Mar 2009,Newspoll,Lib/Nat,First preference,2010,2009-03-21,NA,NA,37
2009-03-20,2009-03-22,20–22 Mar 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-03-21,NA,NA,44
2009-03-20,2009-03-22,20–22 Mar 2009,Newspoll,Oth,First preference,2010,2009-03-21,NA,NA,10
2009-04-03,2009-04-05,3–5 Apr 2009,Newspoll,ALP,First preference,2010,2009-04-04,NA,NA,47
2009-04-03,2009-04-05,3–5 Apr 2009,Newspoll,ALP,Two-party-preferred,2010,2009-04-04,NA,NA,58
2009-04-03,2009-04-05,3–5 Apr 2009,Newspoll,Grn,First preference,2010,2009-04-04,NA,NA,9
2009-04-03,2009-04-05,3–5 Apr 2009,Newspoll,Lib/Nat,First preference,2010,2009-04-04,NA,NA,36
2009-04-03,2009-04-05,3–5 Apr 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-04-04,NA,NA,42
2009-04-03,2009-04-05,3–5 Apr 2009,Newspoll,Oth,First preference,2010,2009-04-04,NA,NA,8
2009-04-17,2009-04-19,17–19 Apr 2009,Newspoll,ALP,First preference,2010,2009-04-18,NA,NA,47
2009-04-17,2009-04-19,17–19 Apr 2009,Newspoll,ALP,Two-party-preferred,2010,2009-04-18,NA,NA,58
2009-04-17,2009-04-19,17–19 Apr 2009,Newspoll,Grn,First preference,2010,2009-04-18,NA,NA,9
2009-04-17,2009-04-19,17–19 Apr 2009,Newspoll,Lib/Nat,First preference,2010,2009-04-18,NA,NA,37
2009-04-17,2009-04-19,17–19 Apr 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-04-18,NA,NA,42
2009-04-17,2009-04-19,17–19 Apr 2009,Newspoll,Oth,First preference,2010,2009-04-18,NA,NA,7
2009-05-01,2009-05-03,1–3 May 2009,Newspoll,ALP,First preference,2010,2009-05-02,NA,NA,42
2009-05-01,2009-05-03,1–3 May 2009,Newspoll,ALP,Two-party-preferred,2010,2009-05-02,NA,NA,55
2009-05-01,2009-05-03,1–3 May 2009,Newspoll,Grn,First preference,2010,2009-05-02,NA,NA,11
2009-05-01,2009-05-03,1–3 May 2009,Newspoll,Lib/Nat,First preference,2010,2009-05-02,NA,NA,38
2009-05-01,2009-05-03,1–3 May 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-05-02,NA,NA,45
2009-05-01,2009-05-03,1–3 May 2009,Newspoll,Oth,First preference,2010,2009-05-02,NA,NA,9
2009-05-15,2009-05-17,15–17 May 2009,Newspoll,ALP,First preference,2010,2009-05-16,NA,NA,46
2009-05-15,2009-05-17,15–17 May 2009,Newspoll,ALP,Two-party-preferred,2010,2009-05-16,NA,NA,56
2009-05-15,2009-05-17,15–17 May 2009,Newspoll,Grn,First preference,2010,2009-05-16,NA,NA,9
2009-05-15,2009-05-17,15–17 May 2009,Newspoll,Lib/Nat,First preference,2010,2009-05-16,NA,NA,37
2009-05-15,2009-05-17,15–17 May 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-05-16,NA,NA,44
2009-05-15,2009-05-17,15–17 May 2009,Newspoll,Oth,First preference,2010,2009-05-16,NA,NA,8
2009-05-29,2009-05-31,29–31 May 2009,Newspoll,ALP,First preference,2010,2009-05-30,NA,NA,43
2009-05-29,2009-05-31,29–31 May 2009,Newspoll,ALP,Two-party-preferred,2010,2009-05-30,NA,NA,55
2009-05-29,2009-05-31,29–31 May 2009,Newspoll,Grn,First preference,2010,2009-05-30,NA,NA,10
2009-05-29,2009-05-31,29–31 May 2009,Newspoll,Lib/Nat,First preference,2010,2009-05-30,NA,NA,38
2009-05-29,2009-05-31,29–31 May 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-05-30,NA,NA,45
2009-05-29,2009-05-31,29–31 May 2009,Newspoll,Oth,First preference,2010,2009-05-30,NA,NA,9
2009-06-12,2009-06-14,12–14 Jun 2009,Newspoll,ALP,First preference,2010,2009-06-13,NA,NA,41
2009-06-12,2009-06-14,12–14 Jun 2009,Newspoll,ALP,Two-party-preferred,2010,2009-06-13,NA,NA,53
2009-06-12,2009-06-14,12–14 Jun 2009,Newspoll,Grn,First preference,2010,2009-06-13,NA,NA,11
2009-06-12,2009-06-14,12–14 Jun 2009,Newspoll,Lib/Nat,First preference,2010,2009-06-13,NA,NA,40
2009-06-12,2009-06-14,12–14 Jun 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-06-13,NA,NA,47
2009-06-12,2009-06-14,12–14 Jun 2009,Newspoll,Oth,First preference,2010,2009-06-13,NA,NA,8
2009-06-26,2009-06-28,26–28 Jun 2009,Newspoll,ALP,First preference,2010,2009-06-27,NA,NA,44
2009-06-26,2009-06-28,26–28 Jun 2009,Newspoll,ALP,Two-party-preferred,2010,2009-06-27,NA,NA,56
2009-06-26,2009-06-28,26–28 Jun 2009,Newspoll,Grn,First preference,2010,2009-06-27,NA,NA,10
2009-06-26,2009-06-28,26–28 Jun 2009,Newspoll,Lib/Nat,First preference,2010,2009-06-27,NA,NA,37
2009-06-26,2009-06-28,26–28 Jun 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-06-27,NA,NA,44
2009-06-26,2009-06-28,26–28 Jun 2009,Newspoll,Oth,First preference,2010,2009-06-27,NA,NA,9
2009-07-10,2009-07-12,10–12 Jul 2009,Newspoll,ALP,First preference,2010,2009-07-11,NA,NA,43
2009-07-10,2009-07-12,10–12 Jul 2009,Newspoll,ALP,Two-party-preferred,2010,2009-07-11,NA,NA,55
2009-07-10,2009-07-12,10–12 Jul 2009,Newspoll,Grn,First preference,2010,2009-07-11,NA,NA,11
2009-07-10,2009-07-12,10–12 Jul 2009,Newspoll,Lib/Nat,First preference,2010,2009-07-11,NA,NA,39
2009-07-10,2009-07-12,10–12 Jul 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-07-11,NA,NA,45
2009-07-10,2009-07-12,10–12 Jul 2009,Newspoll,Oth,First preference,2010,2009-07-11,NA,NA,7
2009-07-24,2009-07-26,24–26 Jul 2009,Newspoll,ALP,First preference,2010,2009-07-25,NA,NA,46
2009-07-24,2009-07-26,24–26 Jul 2009,Newspoll,ALP,Two-party-preferred,2010,2009-07-25,NA,NA,57
2009-07-24,2009-07-26,24–26 Jul 2009,Newspoll,Grn,First preference,2010,2009-07-25,NA,NA,9
2009-07-24,2009-07-26,24–26 Jul 2009,Newspoll,Lib/Nat,First preference,2010,2009-07-25,NA,NA,38
2009-07-24,2009-07-26,24–26 Jul 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-07-25,NA,NA,43
2009-07-24,2009-07-26,24–26 Jul 2009,Newspoll,Oth,First preference,2010,2009-07-25,NA,NA,7
2009-08-07,2009-08-09,7–9 Aug 2009,Newspoll,ALP,First preference,2010,2009-08-08,NA,NA,45
2009-08-07,2009-08-09,7–9 Aug 2009,Newspoll,ALP,Two-party-preferred,2010,2009-08-08,NA,NA,57
2009-08-07,2009-08-09,7–9 Aug 2009,Newspoll,Grn,First preference,2010,2009-08-08,NA,NA,10
2009-08-07,2009-08-09,7–9 Aug 2009,Newspoll,Lib/Nat,First preference,2010,2009-08-08,NA,NA,37
2009-08-07,2009-08-09,7–9 Aug 2009,Newspoll,Lib/Nat,Two-party-preferred,2010,2009-08-08,NA,NA,43
2009-08-07,2009-08-09,7–9 Aug 2009,Newspoll,Oth,First preference,2010,2009-08-08,NA,NA,8
2009-08-21,2009-08-23,21–23 Aug 2009,Newspoll,ALP,First preference,2010,2009-08-22,NA,NA,44
2009-08-21,2009-08-23,21–23 Aug 2009,Newspoll,ALP,Two-party-preferred,2010,2009-08-22,NA,NA,55
2009-08-21,2009-08-23,21–23 Aug 2009,Newspoll,Grn,First preference,2010,2009-08-22,NA,NA,9
